Product Name,Supplier Name
MUTHAIAM RICE 5KG,BAJAR ITEM
BURIFI-60GMS,P.R.ENTERPRISES
RED AVUL 500GM MG,BAJAR ITEM
DHEEPAM LAMP OIL-1L,AMMA BAZAAR
VEL BRAND BOILED-1KGS,BAJAR ITEM
WHITE PEAS 200G,BHUVANESWARI TRADER
WHITE PEAS 500G,BAJAR ITEM
MODERN BUN 25,G.V. AGENCY
AACHI IDLY CHILLI POWDER-50GMS,AV CUBE LOGISTIC
TROPICANA FRUTZ,ESWARI ENTERPRISES
HAPPY HAPPY NEW-10RS,A SQUARE MARKETING
NICE AVAL 200G MG,BAJAR ITEM
FULL CASHEW 200G MG,BAJAR ITEM
DABUR RED PASTE 100G,VINAYAGA&Co
FEVI KWICK 10,EK OM TRADERS
SAKTHI BAJJI BONDA POWDER-200GMS,SUNSEENU MARKETING
DHEEPAM LAMP OIL-1KLR,AMMA BAZAAR
AACHI KASHMIRI CHILLI POWDER-50GMS,AV CUBE LOGISTIC
AACHA CHILLI POWDER-50GMS,AV CUBE LOGISTIC
COCONUT CAKE,GUHAN AGENCY
AACHI RAGI VERMICELLI 180G,AV CUBE LOGISTIC
BANGLE RS 35.00,RSM POOJA ITEMS
BRU INSTANT 50G NEW,AMMAN ENTERPRISES COOM ENTERPRISE
HARINI BLACK ELLU 100G,RANUJA ENTERPRISES
SWARNA GROUNDNUT OIL1L,SRI RAGAVENDRA TRADERS
LIZOL CITRUS-500MLT,CHENNIMALAIAPPA ENTERPRISE
KAMBU 1KG MG,BAJAR ITEM
LAYS AMERICANCREAM & ONION -20RS,SHRI THENANDAL ENTERPRISES
HAIR CLIP-28RS,GAYATHRI JEWELLERS
AAVIN GHEE JAR-500MLT,GK DAIRY MARKETING SERVICES
YES NATURE JAGGERY 500G,SRI MAHALAKSHMI TRADERS
A3 SHEET SINGAL,MURUGAN STORES
MALAI POONDU 1KG,BAJAR ITEM
JAVVARISI 100G MG,BAJAR ITEM
AACHI ROAST VERMICELLI 180G,AV CUBE LOGISTIC
MAGGI NUTRI LICIOUS VEG ATTA NOODLES NEW-72GMS,SRI JAYALAKSHMI ENTERPRISE
LAYS BLUE -20RS,SHRI THENANDAL ENTERPRISES
CHAKRA GOLD LONG LASTING TEA-100GMS,SRI VIGNESHWAR AGENCIES
RED AVUL MG-200GMS,BAJAR ITEM
MADHUKAR SWEET PUFF RICEBALL-12PCS,S.V.S.AGENCY
APPY FIZZ 250ML,AKS GENERAL STORES
3 ROSES 250G,AMMAN ENTERPRISE
BLACK ORID DHALL 200G,BAJAR ITEM
HAMAM NEEM NEW-150GMS,AMMAN ENTERPRISES COOM ENTERPRISE
BUTTER SHEET,BEST MARKETING
WHITE CHANNA 1KG MG,BAJAR ITEM
UDHAIYAM GRAM DHALL-1KGS,SHRI LAKSHMI AGRO FOODS Pvt Ltd
AMUL MASTI BUTTERMILK RS.12,SAAGA TRADERS
MAGUDAM BOILED RICE-10KGS,SREE MUTHUKUMARAN MORDEN RICE MILL
PENTONIC LINC COLR PEN,A.S AGENCIES
HAIR CLEP15,GAYATHRI JEWELLERS
PREMIUM NEI KICHADI 1KG,BAJAR ITEM
ROOPERI SILVER SHINE -50GMS,A.S AGENCIES
BISON BLEACHING POWDER-200GM,BISON CONSUMER PRODUCTS
BINGO ORIGINAL STYLE CHILLI RS.10,NANDHINI TRADE CORP
INDIA GATE FEART ROZZANA 1KG,SAKTHI ENTERPRICES
RED RAJMA 200G,BAJAR ITEM
LONG CHILLY 1KG MG,BAJAR ITEM
VIBRO PANEER -300MLT,AKS GENERAL STORES
METRO MAT,SMILE INDIA
SAKTHI CUMIN POWDER-50GMS,SUNSEENU MARKETING
SHINGAR SILKY KUKUMAM,SRI GURU ENTERPRISES
FINE PEANUT BURFI-42RS,P.R.ENTERPRISES
WHITE KARAMANI 500GM MG,BAJAR ITEM
KARUPU KAVANI 1KG MG,BAJAR ITEM
GOOREJ POEDER PAKAET-10GMS,IRAIVI ENTERPRISES
KARUR MAT,SMILE INDIA
DETTOL -125MLT,CHENNIMALAIAPPA ENTERPRISE
CHANDRIKA AYURVEDIC SOAP-75GMS,ARCHANA TRADING
SAKTHI CHILLI POWDER-100GMS,SUNSEENU MARKETING
GOLD WINNER-5KLR,AMMA BAZAAR
TATA NATURAL HELTHIY SALT,SRI SAKTHI AGENCIES
CAMLIN EXAM SHARPENER.,VIJAY ENTERPRISES
MAJAA MAT,SMILE INDIA
LG ASAFOETIDA POWDER-15GMS,T.P.ANNAPOORANI ENTERPRISES
ACTIVE POWER DETERGENT CAKE-150GMS,SRI RAM TRADERS
3 ROSES NATURAL CARE WITH 5 IND-100GMS,AMMAN ENTERPRISE
CADBURY SHOTS RS 10,SAKTHI AGENCIES MT
YIPPEE MASALA PASTA 65G NEW,NANDHINI TRADE
HARPIC BATHROOM CLEANER-500MLT,CHENNIMALAIAPPA ENTERPRISE
ALIFA LAILA ZEERA SAMBA RICE-1KGS,SAKTHI ENTERPRICES
CINTHOL 10-38GMS,IRAIVI ENTERPRISES
SAKTHI CORIANDER POWDER-50GMS,SUNSEENU MARKETING
AMUL GHEE200ML,SAAGA TRADERS
