S.No,Barcode,Product Name,Quantity,Stock Value,Profit,Profit %,Supplier Name,Category,Sales Rank
123,12240,ORID DHALL 500G MG,416.0,31841.0,6497.25,20.41,BAJAR ITEM,Others,123
124,2972,SABENA DISHWASH POWDER-500GRS,411.0,6312.96,439.77,6.97,T.J.MARKETING,Household - Cleaning,124
125,63894,VIM-25RS,405.0,9720.0,1279.8,13.17,AMMAN ENTERPRISE,Others,125
126,3224,NAGA MAIDA-500KGS,403.0,18175.3,3671.33,20.2,J.S.AGECIES,Staples - Grains,126
127,108,CINTHOL ORIGINAL-100GMS,402.0,17366.4,542.7,3.12,IRAIVI ENTERPRISES,Others,127
128,12405,PORI 200GM MG,400.0,11200.0,6812.0,60.82,BAJAR ITEM,Others,128
129,65187,BRITANNIA MARIE GOLD 64GM,397.0,3811.2,222.49,5.84,R.K.MARKETING,Others,129
130,W5147,AQUAFINA WATER BOTTLE-1KLR,393.0,3930.0,144.69,3.68,ESWARI ENTERPRISES,Beverages - Water,130
132,59529,GODREJ FAB LIQUID DETERGENTL-2LTR,386.0,69094.0,9981.96,14.45,IRAIVI ENTERPRISES,Household - Cleaning,132
133,24179,COLOUR SHEET SINGLE,384.0,768.0,403.2,52.5,BISMI SCHOOL NEEDS,Others,133
134,12273,POPPY SEEDS 50G MG,384.0,43760.0,10589.45,24.2,BAJAR ITEM,Others,134
135,12649,BRINJI LEAF 25G MG,382.0,8532.5,3534.18,41.42,BAJAR ITEM,Others,135
136,40048,ROLL O BIG GARBAGE BAGES,381.0,27479.0,9180.79,33.41,SR ENTERPRISES,Bakery,136
137,60314,CADBURY 5 STAR,381.0,1828.8,99.06,5.42,SAKTHI AGENCIES MT,Others,137
138,3459,ARASAN SOAP-250GMS,377.0,9500.4,1270.49,13.37,OM MURUGA AGENCIES,Personal Care - Soap,138
139,13277,JEERAGA SAMBA 1KG-1KGS,376.0,63544.0,11140.6,17.53,BAJAR ITEM,Others,139
140,11884,DHEEPAM LAMP OIL 500ML POUCH,366.0,34773.0,4645.65,13.36,AMMA BAZAAR,Staples - Oils,140
141,65738,MAGGI MASALA 2MINS30,365.0,10512.0,547.17,5.21,SRI JAYALAKSHMI ENTERPRISE,Spices,141
142,66351,LG ASAFOETIDA SOLID-60GMS,362.0,32218.0,7534.82,23.39,T.P.ANNAPOORANI ENTERPRISES,Others,142
143,1855,DHEEPAM LAMP OIL-500MLT,362.0,36855.0,4528.52,12.29,AMMA BAZAAR,Staples - Oils,143
144,12650,FRIED GROUNDNUT 500G MG,361.0,34295.0,4916.82,14.34,BAJAR ITEM,Staples - Oils,144
145,7882,KRISHNA RICE FLOUR-500GMS,360.0,24168.4,4188.92,17.33,KRISHNA BHAVAN FOODS AND SWEETS,Staples - Grains,145
146,52251,PENTONIC FROST PEN,360.0,3240.0,540.0,16.67,A.S AGENCIES,Stationery,146
147,12212,SPLIT ORID DHALL100G,359.0,6570.0,1838.38,27.98,BAJAR ITEM,Others,147
148,66991,MAGGI 2MIN MASALA NOODLES-70GRS,359.0,5169.6,226.17,4.38,SRI JAYALAKSHMI ENTERPRISE,Spices,148
149,62651,SATHA PATTAI 25GM,358.0,8119.0,4280.63,52.72,BAJAR ITEM,Staples - Grains,149
150,12213,CLOVE 25G MG,358.0,16468.0,6225.62,37.8,BAJAR ITEM,Spices,150
151,63113,PERK DOUBLE NEW-10RS,357.0,3427.2,182.07,5.31,SAKTHI AGENCIES MT,Others,151
152,7723,FOOD MANJAL-100GMS,357.0,12316.5,4914.18,39.9,BAJAR ITEM,Others,152
153,12317,RAW GROUNDNUT 1KG MG,347.0,62113.0,18391.0,29.61,BAJAR ITEM,Staples - Oils,153
154,2372,IDHAYAM GINGELLY OIL B-1KLR,346.0,136530.0,8185.4,6.0,ARCHANA TRADING,Staples - Oils,154
155,12136,GREEN PEAS 500GM,346.0,27334.0,6989.2,25.57,BAJAR ITEM,Frozen Foods,155
156,7468,MODERN WHEAT BREAD-400GMS,346.0,16864.0,1727.0,10.24,G.V. AGENCY,Staples - Grains,156
